cell_id,lat,lon,province
0,31.0,-125.0,Other
1,31.0,-124.953094,Other
2,31.0,-124.90619,Other
3,31.0,-124.85928,Other
4,31.0,-124.81237,Other
5,31.0,-124.765465,Other
6,31.0,-124.71856,Other
7,31.0,-124.67165,Other
8,31.0,-124.62475,Other
9,31.0,-124.57784,Other
10,31.0,-124.53094,Other
11,31.0,-124.48403,Other
12,31.0,-124.43712,Other
13,31.0,-124.39021,Other
14,31.0,-124.34331,Other
15,31.0,-124.2964,Other
16,31.0,-124.2495,Other
17,31.0,-124.20259,Other
18,31.0,-124.155685,Other
19,31.0,-124.10878,Other
20,31.0,-124.06187,Other
21,31.0,-124.01496,Other
22,31.0,-123.968056,Other
23,31.0,-123.92115,Other
24,31.0,-123.874245,Other
25,31.0,-123.82734,Other
26,31.0,-123.78043,Other
27,31.0,-123.73353,Other
28,31.0,-123.686615,Other
29,31.0,-123.63971,Other
30,31.0,-123.592804,Other
31,31.0,-123.5459,Other
32,31.0,-123.49899,Other
33,31.0,-123.45209,Other
34,31.0,-123.40518,Other
35,31.0,-123.35828,Other
36,31.0,-123.31136,Other
37,31.0,-123.26446,Other
38,31.0,-123.21755,Other
39,31.0,-123.17065,Other
40,31.0,-123.12374,Other
41,31.0,-123.076836,Other
42,31.0,-123.02993,Other
43,31.0,-122.983025,Other
44,31.0,-122.93611,Other
45,31.0,-122.889206,Other
46,31.0,-122.8423,Other
47,31.0,-122.795395,Other
48,31.0,-122.74849,Other
49,31.0,-122.701584,Other
50,31.0,-122.65468,Other
51,31.0,-122.60777,Other
52,31.0,-122.56086,Other
53,31.0,-122.513954,Other
54,31.0,-122.46705,Other
55,31.0,-122.42014,Other
56,31.0,-122.37324,Other
57,31.0,-122.32633,Other
58,31.0,-122.27943,Other
59,31.0,-122.23252,Other
60,31.0,-122.18561,Other
61,31.0,-122.1387,Other
62,31.0,-122.0918,Other
63,31.0,-122.04489,Other
64,31.0,-121.997986,Other
65,31.0,-121.95108,Other
66,31.0,-121.904175,Other
67,31.0,-121.85727,Other
68,31.0,-121.810356,Other
69,31.0,-121.76345,Other
70,31.0,-121.716545,Other
71,31.0,-121.66964,Other
72,31.0,-121.622734,Other
73,31.0,-121.57583,Other
74,31.0,-121.52892,Other
75,31.0,-121.48202,Other
76,31.0,-121.435104,Other
77,31.0,-121.3882,Other
78,31.0,-121.34129,Other
79,31.0,-121.29439,Other
80,31.0,-121.24748,Other
81,31.0,-121.20058,Other
82,31.0,-121.15367,Other
83,31.0,-121.106766,Other
84,31.0,-121.05985,Other
85,31.0,-121.01295,Other
86,31.0,-120.96604,Other
87,31.0,-120.919136,Other
88,31.0,-120.87223,Other
89,31.0,-120.825325,Other
90,31.0,-120.77842,Other
91,31.0,-120.731514,Other
92,31.0,-120.6846,Other
93,31.0,-120.637695,Other
94,31.0,-120.59079,Other
95,31.0,-120.543884,Other
96,31.0,-120.49698,Other
97,31.0,-120.45007,Other
98,31.0,-120.40317,Other
99,31.0,-120.35626,Other
100,31.0,-120.30935,Other
101,31.0,-120.26244,Other
102,31.0,-120.21554,Other
103,31.0,-120.16863,Other
104,31.0,-120.12173,Other
105,31.0,-120.07482,Other
106,31.0,-120.027916,Other
107,31.0,-119.98101,Other
108,31.0,-119.9341,Other
109,31.0,-119.88719,Other
110,31.0,-119.84029,Other
111,31.0,-119.79338,Other
112,31.0,-119.746475,Other
113,31.0,-119.69957,Other
114,31.0,-119.652664,Other
115,31.0,-119.60576,Other
116,31.0,-119.558846,Other
117,31.0,-119.51194,Other
118,31.0,-119.465034,Other
119,31.0,-119.41813,Other
120,31.0,-119.37122,Other
121,31.0,-119.32432,Other
122,31.0,-119.27741,Other
123,31.0,-119.23051,Other
124,31.0,-119.18359,Other
125,31.0,-119.13669,Other
126,31.0,-119.08978,Other
127,31.0,-119.04288,Other
128,31.0,-118.99597,Other
129,31.0,-118.949066,Other
130,31.0,-118.90216,Other
131,31.0,-118.855255,Other
132,31.0,-118.80834,Other
133,31.0,-118.76144,Other
134,31.0,-118.71453,Other
135,31.0,-118.667625,Other
136,31.0,-118.62072,Other
137,31.0,-118.573814,Other
138,31.0,-118.52691,Other
139,31.0,-118.479996,Other
140,31.0,-118.43309,Other
141,31.0,-118.386185,Other
142,31.0,-118.33928,Other
143,31.0,-118.29237,Other
144,31.0,-118.24547,Other
145,31.0,-118.19856,Other
146,31.0,-118.15166,Other
