grecord_,name,kgra,wellspring,api,waringno,country,state,county,latitude,longitude,t,r,sec,qsections,bmeridian,mreference,geoprovinc,localityin,sourcetype,pcollect,samplenum,cdate,collector,blank,deposits,treatment,lithology,sampleinfo,sampleinfa,adate,analyst,units,ameas,temp,dtemp,flow,amtemp,depth,gradient,whpressure,pressure1,pressure2,pressure3,steamflow,tflowenth,ph,phtemp,gravity,conductanc,alkalinity,tds,tss,ag,al,as,au,b,ba,be,bi,br,ca,camg,cd,cl,co,co3,cr,cs,cu,f,fe3,fetotal,ga,ge,hco3,hg,h2s,i,k,li,mg,mn,mo,na,nak,nb,nh4,ni,no3,pb,po4,rb,s,sb,sc,se,sio2,sn,so4,sr,ta,ti,u,v,w,zn,dwater,owater18,oso418,sh2s34,sh2s34rev,c13co2,tritium,c14ofc02,otheradata,qualifinfo,reference,rorganizat
251,GODDARD HOT SPRINGS,,,,70,UNITED STATES,,SITKA BORROUGH,56-49.95 N,135-22.25 W,58S,063E,20,NE OF NE OF NW,,PORT ALEXANDER D-5 1:63360,,BARANOF ISLAND; 1.1 MILES W-SW OF MT KLIUCHEF; 0.4 MILE SE OF GODDARD.,SPRING,,85,,,L/MIN,,,,,,,,PPM,,67.0,,49.0,,,,,,,,,,7.4,,,,,,,,0.018,,,1.1,,,,,380.0,,,2780.0,,,,,,1.4,,,,,78.7,,,,61.0,1.6,1.9,,,1500.0,,,,,,,,,,,,,120.0,,110.0,,,,,,,,,,,,,,,,,,"MILLER, 1973",U.S. GEOLOGICAL SURVEY
21499,SITKA HOT SPRINGS - MAGNESIA SPRING,,,,,UNITED STATES,,SITKA BORROUGH,56-50.   N,135-22.   W,58S,064E,,,,PORT ALEXANDER D-4 1:63360,,"KLIUCHEF PENINSULA; 16 MILES SOUTH OF SITKA; NEXT TO ""HOT SPRINGS BAY""; ELEVATION = 55 FT ABOVE HIGH",SPRING,,,1915/06/25,"WARING, G.A.",L/MIN,,,"GRANITE CUT BY NARROW DIKES OF DARKER ROCK, RESEMBLING DIABASE, THAT IS CLASSIFIED AS A SPESSARTITE",WATER TASTES SALTY AND HAS FAINT TASTE AND ODOR OF H2S.,,,"DINSMORE, S.C.",PPM,,61.1,,8.5,,,,,,,,,,,,,,,5046.0,,,2.1,,,,,,,,378.0,,,2740.0,,,,,,,,0.5,,,31.0,,,,57.0,,2.6,,,1365.0,,,,,,,,,,,,,122.0,,97.0,,,,,,,,,,,,,,,,TRACE OF B4O7.,,"WARING, 1917",U.S. GEOLOGICAL SURVEY
45072,ACOCI BIAL NO. 1,,,,,UNITED STATES,ALASKA,,59-44.73 N,153-13.85 W,05S,023W,17,N1/2 OF SE OF,,"ILIAMNA 1:250000, C-1 1:63360",,,WELL,,,1956/06/13,,,,,,CONSIDERABLE LOW PRESSURE GAS FROM 6000FT TO 9622FT PLUS OIL SHOWS.,,,,,,92.2,,,,2970.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"*ALASKA DIVISION OF OIL AND GAS, UNPUBLISHED DATA",UNIVERSITY OF ALASKA
1454,ADAK ISLAND - UNNAMED HOT SPRING (1/2),,,,,UNITED STATES,ALASKA,,51-58.55 N,176-37.73 W,,,,,,ADAK 1:250000,,"2 KM NORTH OF ANDREW LAKE, ON EAST SIDE OF ANDREW BAY",SPRING,SPRING ISSUES FROM FRACTU,76AMM220,,,,,,,,,,,PPM,HCO3,63.0,,,,,,,,,,,,7.4,,,,420.0,,,,,,,87.0,,,,,1500.0,,,13500.0,,,,,,0.49,,,,,420.0,,,,460.0,,70.0,,,6800.0,,,,,,,,,,,,,218.0,,120.0,,,,,,,,,,,,,,,,,,"*MILLER AND SMITH, 1977*",US GEOLOGICAL SURVEY
1453,ADAK ISLAND - UNNAMED HOT SPRING (2/2),,,,,UNITED STATES,ALASKA,,51-58.55 N,176-37.73 W,,,,,,ADAK 1:250000,,"2 KM NORTH OF ANDREW LAKE, ON EAST SIDE OF ANDREW BAY",SPRING,SPRING ISSUES THROUGH BEA,76AMM221,,,,,,,,,,,PPM,HCO3,71.0,,,,,,,,,,,,7.5,,,,430.0,,,,,,,70.0,,,,,1300.0,,,12000.0,,,,,,0.55,,,,,430.0,,,,380.0,,110.0,,,610.0,,,,,,,,,,,,,215.0,,330.0,,,,,,,,,,,,,,,,,,"*MILLER AND SMITH, 1977*",US GEOLOGICAL SURVEY
1915,AKUN STRAIT HOT SPRINGS,,,,,UNITED STATES,ALASKA,,54-08.4  N,165-38.4  W,70S,111W,,,,"UNIMAK 1:250,000",,,SPRING,,,8/10/80,,L/MIN,,,,,,,,MG/L,,42.8,,15.0,,,,,,,,,,7.47,,,9800.0,,,,,,,,5.7,,,,,475.0,,,3440.0,,,,,,0.67,,,,,82.0,,,,35.0,,46.0,,,1660.0,,,,,,,,,,,,,50.0,,222.0,,,,,,,,,,,,,,,,,,"MOTYKA AND MOORMAN, 1981",U.S. GEOLOGICAL SURVEY
1922,AKUTAN HOT SPRINGS   (SPRING A2),,,,,UNITED STATES,ALASKA,,54-09.   N,165-55.   W,69S,112W,,,,"UNIMAK 1:250,000",,,SPRING,,,8/07/80,,L/MIN,,,,,,,,MG/L,,84.0,,118.0,,,,,,,,,,6.98,,,1775.0,,,,,,,,11.0,,,,,11.0,,,424.0,,,,,,1.1,,,,,172.0,,,,25.0,,2.5,,,323.0,,,,,,,,,,,,,145.0,,43.0,,,,,,,,,,,,,,,,,,"MOTYKA AND MOORMAN, 1981",U.S. GEOLOGICAL SURVEY
1923,AKUTAN HOT SPRINGS  (SPRING D2),,,,,UNITED STATES,ALASKA,,54-09.   N,165-55.   W,69S,112W,,,,"UNIMAK 1:250,000",,,SPRING,,,8/08/80,,L/MIN,,,,,,,,MG/L,,58.8,,20.0,,,,,,,,,,6.82,,,700.0,,,,,,,,3.4,,,,,11.0,,,136.0,,,,,,0.88,,,,,128.0,,,,9.3,,12.0,,,128.0,,,,,,,,,,,,,91.0,,26.0,,,,,,,,,,,,,,,,,,"MOTYKA AND MOORMAN, 1981",U.S. GEOLOGICAL SURVEY
207,AKUTAN ISLAND - HOT SPRING B,,,,,UNITED STATES,ALASKA,,54-09.5  N,165-50.7  W,69S,110W,,,,UNIMAK 1:250000,,.5 MILE SOUTH OF HOT SPRINGS BAY; WEST SIDE OF VALLEY.,SPRING,,,1948/07/30,,,,,,,,,,PPM,,83.0,,,,,,,,,,,,7.0,,,,,952.0,,,,,,5.59,,,,,9.9,,,350.0,,,,,,0.7,,,,,192.0,,,,21.0,,1.4,,,288.0,,,,,,,,,,,,,128.0,,39.0,,,,,,,,,,,,,,,,,BORON CALCULATED FROM B2O3; HCO3 BY DIRECT TITRATION.,"BYERS AND BARTH, 1953",U.S. GEOLOGICAL SURVEY
45070,AMOCO CATHEDRAL RIVER UNIT NO. 1,,,,,UNITED STATES,ALASKA,,55-44.05 N,162-07.30 W,51S,083W,29,SW OF NE OF SE,,"COLD BAY 1:250000, C-1 1:63360",,,WELL,,,1974/06/28,,,,,,,,,,,,142.8,4356.0,,,4359.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"*ALASKA DIVISION OF OIL AND GAS, UNPUBLISHED DATA",UNIVERSITY OF ALASKA
