id,gid,latitude,longitude,area_or_ams_map,hole_name,twn_rng_sec,county,state,tect_prov,location_notes,meas_date,drill_date,collar_elevation,drill_depth,water_table,water_symbold,surf_temp,min_temp,max_temp,bot_temp,lit_info,comment_info,interval_id,depth,bottom,avg_tcu,avg_tcu_sym,avg_tcu_std_err,bulk_tcu,bulk_tcu_repeats,porosity,geoth_grad,geoth_grad_sym,geoth_grad_std_err,cgeoth_grad,cgeoth_grad_sym,cgeoth_grad_std_err,heat_flow,heat_flow_sym,heat_flow_std_err,cheat_flow,cheat_flow_sym,cheat_flow_std_err,heat_production,heat_production_sym,heat_production_std_err,num_hg,aquifier_temp,aquifier_temp_sym,aquifier_temp_std_err,quality_code,pub_ref,new_pub_ref,info,smu_id,link,copyrighted,second_link
6a602f5a-d848-3bad-8d93-7665b1efc2f0,AK-00005,56.8389391,-133.3160936,ALASKA,ASC,"","",AK,"","",,,21,211,,"",,,,,ARGILLITE&-GRAYWACKE,UND Data Record: US 33. Site COMBINES TWO WELLS ASC1 AND ASC2 THE THIRD RESULTS CARD IS THE MEAN OF THE TWO WELLS,c,181,211,1.94,"",0.17,,5,,33.8,"",0.3,33.8,"",,66,"",6,66,"",,,"",,,,"",,B,"",Sass853,"Sass, J.H., L.A. Lawver, and R.J. Munroe, A heat-flow reconnaissance of southeastern Alaska, Can. J. Earth Sci., 22, 416-421, 1985. doi 10.1139/e85-040",SMU 100730,http://www.nrcresearchpress.com/doi/abs/10.1139/e85-040?journalCode=cjes,Yes,""
6a602f5a-d848-3bad-8d93-7665b1efc2f0,AK-00005,56.8389391,-133.3160936,ALASKA,ASC,"","",AK,"","",,,21,211,,"",,,,,ARGILLITE&-GRAYWACKE,UND Data Record: US 33. Site COMBINES TWO WELLS ASC1 AND ASC2 THE THIRD RESULTS CARD IS THE MEAN OF THE TWO WELLS,b,91,129,1.91,"",0.12,,11,,37.7,"",1,37.7,"",,72,"",6,72,"",,,"",,,,"",,B,"",Sass853,"Sass, J.H., L.A. Lawver, and R.J. Munroe, A heat-flow reconnaissance of southeastern Alaska, Can. J. Earth Sci., 22, 416-421, 1985. doi 10.1139/e85-040",SMU 100730,http://www.nrcresearchpress.com/doi/abs/10.1139/e85-040?journalCode=cjes,Yes,""
6a602f5a-d848-3bad-8d93-7665b1efc2f0,AK-00005,56.8389391,-133.3160936,ALASKA,ASC,"","",AK,"","",,,21,211,,"",,,,,ARGILLITE&-GRAYWACKE,UND Data Record: US 33. Site COMBINES TWO WELLS ASC1 AND ASC2 THE THIRD RESULTS CARD IS THE MEAN OF THE TWO WELLS,a,91,211,1.92,"",,,20,,35.8,*,,35.8,"",,69,*,,69,"",,,"",,,,"",,B,"",Sass853,"Sass, J.H., L.A. Lawver, and R.J. Munroe, A heat-flow reconnaissance of southeastern Alaska, Can. J. Earth Sci., 22, 416-421, 1985. doi 10.1139/e85-040",SMU 100730,http://www.nrcresearchpress.com/doi/abs/10.1139/e85-040?journalCode=cjes,Yes,""
de76f3b9-dd32-3e8f-baf7-32556893b85b,AK-00007,69.1495787,-158.0238090,ALASKA,AWU,"","",AK,"","",,,335,,,"",,,,,"",THIS IS THE AWUNA SITE,a,739,748,1.67,"",,,1,,22.6,"",,22.6,"",,38,"",11,38,"",,,"",,,,"",,C,"",Deming924,"Deming, D., J. Sass, A. Lachenbruch, R. De Rito, Heat flow and subsurface temperature as evidence for basin-scale ground-water flow, North slope of Alaska, Geol. Soc. of Amer. Bull., 104, 528-542, 1992.",SMU 100628,http://gsabulletin.gsapubs.org/content/104/5/528,Yes,doi: 10.1130/0016-7606(1992)104<0528:HFASTA>2.3.CO;2
13472a22-547a-36b8-8039-01db4863b064,AK-00011,70.7697556,-152.4739586,ALASKA,CHA,"","",AK,"","",,,5,2384,,"",,,,79,"",THIS IS THE CAPE HALKETT SITE,a,0,2383,1.72,AUTH,,,,,38.2,"",,38.2,"",,66,"",20,66,"",,,"",,,,"",,C,"",Deming924,"Deming, D., J. Sass, A. Lachenbruch, R. De Rito, Heat flow and subsurface temperature as evidence for basin-scale ground-water flow, North slope of Alaska, Geol. Soc. of Amer. Bull., 104, 528-542, 1992.",SMU 100628,http://gsabulletin.gsapubs.org/content/104/5/528,Yes,doi: 10.1130/0016-7606(1992)104<0528:HFASTA>2.3.CO;2
bd3d2ab2-456c-3f8e-876c-92aaa3acab8d,AK-00015,70.8797286,-153.9040249,ALASKA,DRP,"","",AK,"","",,,3,2300,,"",,,,77,L.CRETLS-,THIS IS THE DREW POINT SITE,c,299,628,1.49,"",,,14,,39,"",,39,"",,61,"",12,61,"",,,"",,,,"",,C,"",Deming924,"Deming, D., J. Sass, A. Lachenbruch, R. De Rito, Heat flow and subsurface temperature as evidence for basin-scale ground-water flow, North slope of Alaska, Geol. Soc. of Amer. Bull., 104, 528-542, 1992.",SMU 100628,http://gsabulletin.gsapubs.org/content/104/5/528,Yes,doi: 10.1130/0016-7606(1992)104<0528:HFASTA>2.3.CO;2
bd3d2ab2-456c-3f8e-876c-92aaa3acab8d,AK-00015,70.8797286,-153.9040249,ALASKA,DRP,"","",AK,"","",,,3,2300,,"",,,,77,L.CRETLS-,THIS IS THE DREW POINT SITE,b,116,198,2.48,"",,,4,,31.8,"",,31.8,"",,,"",,,"",,,"",,,,"",,X,"",Deming924,"Deming, D., J. Sass, A. Lachenbruch, R. De Rito, Heat flow and subsurface temperature as evidence for basin-scale ground-water flow, North slope of Alaska, Geol. Soc. of Amer. Bull., 104, 528-542, 1992.",SMU 100628,http://gsabulletin.gsapubs.org/content/104/5/528,Yes,doi: 10.1130/0016-7606(1992)104<0528:HFASTA>2.3.CO;2
bd3d2ab2-456c-3f8e-876c-92aaa3acab8d,AK-00015,70.8797286,-153.9040249,ALASKA,DRP,"","",AK,"","",,,3,2300,,"",,,,77,L.CRETLS-,THIS IS THE DREW POINT SITE,a,639,2300,1.67,AUTH,,,,,38,"",,38,"",,64,"",19,64,"",,,"",,,,"",,C,"",Deming924,"Deming, D., J. Sass, A. Lachenbruch, R. De Rito, Heat flow and subsurface temperature as evidence for basin-scale ground-water flow, North slope of Alaska, Geol. Soc. of Amer. Bull., 104, 528-542, 1992.",SMU 100628,http://gsabulletin.gsapubs.org/content/104/5/528,Yes,doi: 10.1130/0016-7606(1992)104<0528:HFASTA>2.3.CO;2
e9c37e83-4710-3ef5-b268-c728d70d35d6,AK-00018,70.9197143,-154.6240544,ALASKA,ES1,"","",AK,"","",,,2,2359,,"",,,,89,"",THIS IS THE E. SIMPSON #1,b,100,581,1.51,AUTH,,,,,34.2,"",,34.2,"",,51,"",15,51,"",,,"",,,,"",,C,"",Deming924,"Deming, D., J. Sass, A. Lachenbruch, R. De Rito, Heat flow and subsurface temperature as evidence for basin-scale ground-water flow, North slope of Alaska, Geol. Soc. of Amer. Bull., 104, 528-542, 1992.",SMU 100628,http://gsabulletin.gsapubs.org/content/104/5/528,Yes,doi: 10.1130/0016-7606(1992)104<0528:HFASTA>2.3.CO;2
e9c37e83-4710-3ef5-b268-c728d70d35d6,AK-00018,70.9197143,-154.6240544,ALASKA,ES1,"","",AK,"","",,,2,2359,,"",,,,89,"",THIS IS THE E. SIMPSON #1,a,581,2359,1.76,AUTH,,,,,45.3,"",,45.3,"",,79,"",24,79,"",,,"",,,,"",,C,"",Deming924,"Deming, D., J. Sass, A. Lachenbruch, R. De Rito, Heat flow and subsurface temperature as evidence for basin-scale ground-water flow, North slope of Alaska, Geol. Soc. of Amer. Bull., 104, 528-542, 1992.",SMU 100628,http://gsabulletin.gsapubs.org/content/104/5/528,Yes,doi: 10.1130/0016-7606(1992)104<0528:HFASTA>2.3.CO;2
