permit,well,operator,county,date,lat,lon,shl_n,shl_e,file
1702,46-12,"ORNI 52, LLC",Humboldt,6/10/2025,41.930777,-118.70911,4643503,358300,1702_11-26-2025_ORNI_52_LLC_Humboldt_Baltazor_46-12.pdf
,STC-2A (38-29),"STC, Ventures, LLC",Washoe,1/28/2025,39.389477,-119.764069,4363644,261954,GEO_1638_2-28-2025_STC_Ventures_LLC_Washoe_STC-2A.pdf
1641,53B(54)-3,,Eureka,2/4/2025,40.327465,-116.432813,4464258,548183,GEO_1641_5-08-2025_Ormat_Nevada_Inc_Crecent_Valley_Lander_53B_54_-3.pdf
,78(88)-12,"Ormat Nevada, Inc.",Mineral,3/10/2025,38.298625,-118.035496,4239456,409455,GEO_1642_5-13-2025_Ormat_Nevada_Inc_Excelsior_Mineral_78_88_-12_1.pdf
1643,58-18,"Ormat Nevada, Inc.",Mineral,3/10/2025,38.28436,-118.022979,4237861,410532,GEO_1643_5-13-2025_Ormat_Nevada_Inc_Excelsior_Mineral_58-18_1.pdf
1644,31(41)-18,"Ormat Nevada, Inc.",Mineral,3/10/2025,38.296472,-118.028215,4239210,410089,GEO_1644_5-13-2025_Ormat_Nevada_Inc_Excelsior_Mineral_31_41_-18_1.pdf
1645,24(34)-18,"Ormat Nevada, Inc.",Mineral,3/10/2025,38.291564,-118.028763,4238666,410035,GEO_1645_5-13-2025_Ormat_Nevada_Inc_Excelsior_Mineral_24_34_-18.pdf
1646,26(36)-18,"Ormat Nevada, Inc.",Mineral,3/10/2025,38.287787,-118.02991,4238248,409930,GEO_1646_5-13-2025_Ormat_Nevada_Inc_Excelsior_Mineral_26_36_-18.pdf
1648,25-12,"Ormat Nevada, Inc.",,5/5/2025,40.397978,-117.886904,4472308,424735,GEO_1648_9-5-2025_Ormat_Nevada_Inc_Harmony_Pershing_25-12.pdf
1649,46-1,"Ormat Nevada, Inc.",,5/5/2025,40.411725,-117.881144,4473829,425239,GEO_1649_9-5-2025_Ormat_Nevada_Inc_Harmony_Pershing_46-1.pdf
1650,52-1,"Ormat Nevada, Inc.",,5/5/2025,40.418132,-117.878646,4474538,425458,GEO_1650_9-5-2025_Ormat_Nevada_Inc_Harmony_Pershing_52-1.pdf
1651,54-14,"Ormat Nevada, Inc.",Pershing,5/5/2025,40.385966,-117.898964,4470985,423698,GEO_1651_9-5-2025_Ormat_Nevada_Inc_Harmony_Pershing_54-14.pdf
1652,63-12,"Ormat Nevada, Inc.",Pershing,5/5/2025,40.401709,-117.878504,4472715,425452,GEO_1652_9-5-2025_Ormat_Nevada_Inc_Harmony_Pershing_63-12.pdf
1653,75(16-12)-11,"Ormat Nevada, Inc.",Pershing,5/5/2025,40.397923,-117.892925,4472307,424224,GEO_1653_9-5-2025_Ormat_Nevada_Inc_Harmony_Pershing_75_16-12_-11.pdf
1654,83(13-12)-11,"Ormat Nevada, Inc.",,5/5/2025,40.402686,-117.892092,4472835,424300,GEO_1654_9-5-2025_Ormat_Nevada_Inc_Harmony_Pershing_83_13-12_-11.pdf
,11(28-14)-23,"Ormat Nevada, Inc.",,5/5/2025,40.377306,-117.90733,4470031,422978,GEO_1655_9-5-2025_Ormat_Nevada_Inc_Harmony_Pershing_11_28-14_-23.pdf
1656,13-6,"Ormat Nevada, Inc.",,5/5/2025,40.416266,-117.87036,4474324,426159,GEO_1656_9-5-2025_Ormat_Nevada_Inc_Harmony_Pershing_13-6.pdf
