name,lat,lon
Geysers Unit 5-20,38.777,-122.745
Blundell,38.4889,-112.8533
Sonoma California Geothermal,38.7903,-122.7559
Bottle Rock Power,38.8348,-122.7677
Geothermal 1,38.752,-122.7195
Geothermal 2,38.7492,-122.7117
Desert Peak Power Plant,39.753999,-118.953497
Beowawe,40.5547,-116.6175
Mammoth G3,37.6455,-118.9096
Mammoth G1,37.6451,-118.9143
Mammoth G2,37.6464,-118.9092
CE Leathers,33.1779,-115.565
Del Ranch Company,33.1646,-115.616
Elmore Company,33.1777,-115.6033
Salton Sea Power Gen Co - Unit 3,33.158153,-115.638656
Ormesa III,32.7757,-115.2637
Coso Finance Partners,36.0372,-117.7981
Coso Power Developers,36.0192,-117.7917
Coso Energy Developers,36.0019,-117.7886
Salton Sea Power Gen Co Unit 1,33.158,-115.6475
Salton Sea Power Gen Co - Unit 2,33.1589,-115.6455
Calistoga Power Plant,38.7879,-122.7434
Vulcan-BN Geothermal Power Company,33.1633,-115.6167
Steamboat Hills LP,39.37,-119.766944
Stillwater Facility,39.547537,-118.555613
Ormesa I,32.8156,-115.2568
Amedee Geothermal Venture I,40.300833,-120.105
Dixie Valley,39.9663,-117.8557
Puna Geothermal Venture I,19.478976,-154.888362
Aidlin Geothermal Power Plant,38.8339,-122.881
Geo East Mesa II,32.7757,-115.2637
Second Imperial Geothermal,32.7144,-115.5356
Steamboat II,39.395603,-119.746762
Steamboat III,39.394444,-119.7475
Heber Geothermal,32.7146,-115.518
Ormesa II,32.7881,-115.2481
Salton Sea Power Gen Co - Unit 4,33.157,-115.6386
Salton Sea Power LLC - Unit 5,33.1533,-115.6384
CE Turbo LLC,33.1669,-115.5114
Brady,39.796032,-119.010013
Raft River Geothermal Power Plant,42.099417,-113.38245
Richard Burdette Geothermal,39.390843,-119.754593
Galena 2 Geothermal Power Plant,39.373189,-119.764507
Galena 3 Geothermal Power Plant,39.388722,-119.748908
North Brawley Geothermal Plant,33.0139,-115.5439
NGP Blue Mountain I LLC,40.9961,-118.1414
ENEL Salt Wells LLC,39.2944,-118.5725
Thermo No 1,38.160653,-113.194462
Jersey Valley Geothermal Power Plant,40.1808,-117.4739
