discovery_id,lat,lon,area_km2,p_mean,p_std,n_cells,province,plausibility,matched,nearest_max_id,dist_to_max_km,T_res_source,mwe_p10,mwe_p50,mwe_p90,mwe_mean,T_res_central,T_res_mean_draws,thickness_mean_m,RF_mean,eta_mean
45,40.53315484615385,-116.77512926923076,832.0,0.9995565414428712,0.0002419949887553,52,Basin_and_Range,plausible,True,62,10.3,geothermometer,480.7341235292703,1298.1695374508158,3331.390937017032,1706.9597438508124,218.71716022491455,220.01129595953256,289.40528195929005,0.15292229863573617,0.11806779536277687
49,40.74026035714287,-114.78108967857142,448.0,0.9995258450508118,0.0002663587220013,28,Basin_and_Range,plausible,True,67,18.1,geothermometer,335.250867510475,873.1978140681106,2162.398483177418,1117.236706467552,231.3138771057129,230.57719004450797,294.11559847573005,0.16235249510185504,0.12506998082416163
43,40.186025117647056,-115.27932270588236,272.0,0.9994982481002808,0.0003206538094673,17,Basin_and_Range,plausible,True,63,17.3,geothermometer,144.092531290494,391.021873583294,1042.3438273209613,515.7699931384342,216.89983308315277,217.1332843706113,287.75604830866257,0.14940817992415623,0.11614345500450415
20,38.12959716666666,-112.68509566666668,384.0,0.9995169639587402,0.0002669226087164,24,Rocky_Mountain,plausible,True,38,11.8,geothermometer,143.0912935797984,380.2193684908343,1008.3945992310609,500.3669403832339,199.48737263679504,199.01703688366524,292.1280244566123,0.13247047740515216,0.10329093571185848
75,42.42395199999999,-118.02433628571428,224.0,0.999499499797821,0.0003147941606584,14,Other,plausible,True,81,8.9,geothermometer,137.96749199661713,366.0634247503775,936.1464304576851,472.90144287554864,222.67596244812012,222.1719157203624,292.75000454494136,0.15357806872490018,0.11954687649287564
22,38.00356127272727,-114.60381890909092,176.0,0.9994949102401732,0.0002458324888721,11,Basin_and_Range,plausible,True,41,21.9,geothermometer,134.68287098012627,347.02070056962276,833.1121921371823,435.5946379440437,232.57347702980042,232.14699050209305,288.9229021905325,0.16351029384606022,0.1260711895569577
33,39.05884872222222,-123.30615422222225,288.0,0.999508023262024,0.0003005181788466,18,Other,plausible,True,45,8.6,geothermometer,115.10978340236335,304.6121071347632,788.1311938038268,404.40783253942527,203.43878149986267,202.8229329275354,286.959218731974,0.13541091591245163,0.10603014030661911
54,41.11360276923077,-116.15993246153845,208.0,0.999487578868866,0.0003082323237322,13,Basin_and_Range,plausible,True,68,23.9,geothermometer,109.74587772465523,293.0107691130539,766.0513702234723,384.75788774597135,216.2095469236374,216.45692992840048,286.60663578323306,0.14758310809401326,0.11567836593238237
70,41.901006375,-120.737374125,256.0,0.9995396137237548,0.0002667405642569,16,Cascades,plausible,True,77,13.8,geothermometer,91.05335418215216,231.30421539597128,599.5462817767453,307.67582009029996,195.8647346496582,195.49066785850258,289.38924995684715,0.13080199798975825,0.10066621987842872
40,39.92431254545455,-118.49279190909093,176.0,0.9995133876800536,0.0003518354787956,11,Other,plausible,True,60,5.0,geothermometer,89.51784763760693,222.661168278449,628.2276979552379,306.94011540464834,213.74391555786133,212.9699497303618,288.18573253870676,0.14389333922850397,0.11328093295136615
18,37.8954369,-118.5081429,160.0,0.9995492696762084,0.0002360810321988,10,Other,plausible,True,34,3.8,geothermometer,85.60179359764737,221.9580376599293,611.9329410290637,299.42308708277966,215.83036601543427,216.13519985201657,290.58711625003275,0.1467966481456677,0.1154492880069221
39,39.5040115,-117.23306841666668,192.0,0.9995545744895936,0.0002953543735202,12,Basin_and_Range,plausible,True,57,5.4,geothermometer,75.74611176115275,203.7089183377409,531.2959203568481,262.33177557699526,200.5433088541031,201.13099965665,297.00410614449135,0.133305175358111,0.10481276676917829
38,39.163197454545454,-118.0151980909091,176.0,0.999522626399994,0.0003144324582535,11,Other,plausible,True,53,6.8,geothermometer,70.93433929882762,199.2308172307425,507.50676267583066,260.1387694946531,205.3598117828369,204.5324566385294,293.4755206548702,0.13628040733857769,0.10729989606989324
90,42.96550500000001,-118.226706,80.0,0.9994955062866212,0.0003000015276484,5,Other,plausible,True,85,24.3,geothermometer,68.79820922356156,174.38574223912747,429.2617312585482,221.362106967079,238.3064103126526,238.52452995955588,287.26934073554156,0.16876957080144675,0.13012595343075065
77,42.27080966666666,-118.98033516666668,96.0,0.999460220336914,0.0003030645893886,6,Other,plausible,True,80,7.1,geothermometer,57.98822058077707,151.55407872904613,393.2224327191259,199.75959741389735,220.12805700302124,220.4789538319184,295.04466026757075,0.15261232816656786,0.11840532521322666
