name,lat,lon,T_C,type,label,held_out_score,percentile_vs_neg
"Hot Springs, VA",38.0026,-79.8333,42,thermal,1,0.1873587965965271,100.0
"Warm Springs, VA",38.0521,-79.7842,37,thermal,1,0.3639218211174011,100.0
"Ringer Hot Springs, KY",37.1583,-83.1842,22,warm,1,0.5270565748214722,100.0
"Magnetic Springs, OH",40.3989,-83.2588,14,cool_spring,1,0.4257088005542755,100.0
"Excelsior Springs, MO",39.3393,-94.2261,14,cool_spring,1,0.3756970167160034,100.0
"Sharon Springs, NY",42.7945,-74.6151,15,cool_spring,1,0.20092985033988953,100.0
"Saratoga Springs, NY",43.0831,-73.7846,10,cool_spring,1,0.5286374092102051,100.0
"Warm Springs, GA",32.8893,-84.681,33,warm,1,0.46398112177848816,100.0
"Bedford Springs, PA",40.0049,-78.5023,18,warm,1,0.5094536542892456,100.0
"Healing Springs, VA",37.8762,-79.8245,27,warm,1,0.2057298868894577,99.75
"Capon Springs, WV",39.2906,-78.4533,21,warm,1,0.11650628596544266,99.375
"Berkeley Springs, WV",39.6262,-78.2278,22,warm,1,0.17984476685523987,98.75
"Thomson Spring, TN",35.6531,-85.7721,18,warm,1,0.1428995132446289,98.5
"Sweet Springs, WV",37.6217,-80.2437,22,warm,1,0.11346419900655746,96.125
"Minnequa Spring, PA",41.7156,-76.7811,15,cool_spring,1,0.10916896909475327,94.875
"Falling Spring, VA",37.8589,-79.9375,22,warm,1,0.11552835255861282,94.25
"Lebanon Springs, NY",42.4673,-73.3937,22,warm,1,0.1191096156835556,93.75
"Sulphur Spring, WV",37.79,-80.305,22,warm,1,0.09157827496528625,90.0
"Warm Mineral Spr, FL",27.0593,-82.2604,30,warm,1,0.08392789959907532,86.625
"Lithia Springs, GA",33.7959,-84.6608,18,warm,1,0.049394965171813965,73.0
"Ballston Spa, NY",43.0006,-73.8487,12,cool_spring,1,0.043463606387376785,67.25
"Catawba Springs, NC",35.545,-81.23,18,warm,1,0.031430747359991074,64.0
"Hot Springs, AR",34.5117,-93.0531,62,thermal,1,0.023402778431773186,57.25
"Stafford Springs, CT",41.954,-72.3015,14,cool_spring,1,0.01925022341310978,56.875
"Hot Springs, NC",35.8915,-82.8298,40,thermal,1,0.02044796198606491,55.375
