discovery_id,lat,lon,area_km2,p_mean,p_std,n_cells,province,plausibility
55,39.18061866666667,-120.07482,48.0,0.9971621632575989,0.0013868104433640838,3,Other,implausible
44,38.55779166666667,-119.32431666666666,48.0,0.9970852732658386,0.0012898556888103485,3,Other,plausible
53,39.18279690909091,-118.09195454545453,176.0,0.9970260858535767,0.0012181145139038563,11,Other,plausible
59,39.84194828571429,-119.90729792857144,224.0,0.9970157742500305,0.0017080846009775996,14,Other,plausible
86,43.16419094117647,-122.00626341176472,272.0,0.9969426393508911,0.0015360988909378648,17,Cascades,plausible
49,38.94706016666667,-119.535395,96.0,0.9969387650489807,0.0011409182334318757,6,Other,plausible
62,40.58645550746268,-116.87537795522388,1072.0,0.9969006180763245,0.001464744214899838,67,Basin_and_Range,plausible
89,44.15127566666666,-114.133335,48.0,0.9968914985656738,0.0012857321416959167,3,Snake_River_Plain,plausible
34,37.91699583333334,-118.54254166666668,96.0,0.9968882203102112,0.0013167570577934384,6,Other,plausible
73,41.346298375,-119.643867125,256.0,0.996886134147644,0.0017171560321003199,16,Other,implausible
36,38.24792329032259,-122.58053403225804,496.0,0.9968799948692322,0.0013978718779981136,31,Other,plausible
66,40.65333000000001,-118.75735882608696,368.0,0.9968752861022949,0.0015023363521322608,23,Other,implausible
6,33.59911333333333,-115.96268666666667,48.0,0.996870219707489,0.0009982498595491052,3,Basin_and_Range,plausible
58,39.55990655555556,-113.18999111111111,144.0,0.9968670606613159,0.001540177152492106,9,Basin_and_Range,plausible
42,38.57148,-118.124852,112.0,0.9968664050102234,0.0014984605368226767,7,Other,implausible
0,32.10033155555555,-106.69396559999998,720.0,0.9968651533126831,0.0014585703611373901,45,Rocky_Mountain,implausible
67,40.824427379310336,-114.96524865517242,464.0,0.9968569278717041,0.0013433231506496668,29,Basin_and_Range,plausible
65,40.741020666666664,-120.26939501851848,864.0,0.9968507289886475,0.0015373521018773317,54,Other,implausible
1,32.70369422413794,-107.38904393103448,928.0,0.9968309998512268,0.0016493229195475578,58,Rocky_Mountain,implausible
88,43.720086583333334,-121.86508366666665,192.0,0.9968233704566956,0.0014164921594783664,12,Cascades,plausible
63,40.285368000000005,-115.12204647058824,272.0,0.9968169927597046,0.0013362352037802339,17,Basin_and_Range,plausible
51,39.208929999999995,-112.83842818181816,176.0,0.9968071579933167,0.0013570430455729365,11,Rocky_Mountain,plausible
68,40.929333,-116.30666666666667,48.0,0.9968040585517883,0.0014753589639440179,3,Basin_and_Range,plausible
17,35.77182946666667,-117.52936153333333,240.0,0.9968016743659973,0.0014115896774455905,15,Basin_and_Range,plausible
79,41.97616446666665,-119.60575513333335,240.0,0.9967975616455078,0.0014104164438322186,15,Other,implausible
77,42.02344960869564,-120.7661804347826,368.0,0.9967935085296631,0.0015068479115143418,23,Cascades,plausible
85,42.79782,-118.04220333333335,48.0,0.9967820644378662,0.0011709359241649508,3,Other,plausible
30,37.73871626923078,-114.91691046153845,416.0,0.9967804551124573,0.0012665893882513046,26,Basin_and_Range,plausible
18,35.7287106,-107.05358220000001,80.0,0.9967640042304993,0.0009509447845630348,5,Rocky_Mountain,implausible
33,37.882121000000005,-116.81620011764707,272.0,0.9967527985572815,0.001623692107386887,17,Basin_and_Range,plausible
57,39.539944444444444,-117.27606522222221,144.0,0.9967429637908936,0.0016633631894364953,9,Basin_and_Range,plausible
80,42.294764666666666,-119.05851200000001,48.0,0.9967424273490906,0.0011645519407466054,3,Other,plausible
70,41.1958325,-120.016189,64.0,0.996734619140625,0.0015007905894890428,4,Cascades,plausible
43,38.639238,-116.72569839999998,80.0,0.9967341423034668,0.0019278364488855004,5,Basin_and_Range,plausible
46,38.811713999999995,-113.1420406,80.0,0.996731162071228,0.0014781288336962461,5,Basin_and_Range,plausible
11,34.49443033333335,-117.08452950000002,192.0,0.9967251420021057,0.0016528101405128837,12,Basin_and_Range,plausible
40,38.204455499999995,-114.8330225,64.0,0.9967085123062134,0.0012468035565689206,4,Basin_and_Range,plausible
2,32.89543825,-108.13712275,64.0,0.9967079758644104,0.0013893665745854378,4,Rocky_Mountain,implausible
23,36.40269949999999,-117.68594071428573,224.0,0.9967077970504761,0.001568667939864099,14,Basin_and_Range,plausible
26,37.31213399999999,-114.555492,48.0,0.9967077374458313,0.0015378816751763225,3,Basin_and_Range,plausible
29,37.53317272727273,-117.19220309090908,176.0,0.9967063665390015,0.001543640741147101,11,Basin_and_Range,plausible
39,38.23589775,-116.25780362500001,128.0,0.9967052936553955,0.0012737952638417482,8,Basin_and_Range,plausible
50,38.990477750000004,-117.6298175,128.0,0.9967045783996582,0.0014940438559278846,8,Basin_and_Range,plausible
61,40.031021,-120.29371333333332,48.0,0.9967042803764343,0.0014768675900995731,3,Other,implausible
75,41.589015153846155,-119.27380153846156,208.0,0.9966941475868225,0.0013716297689825296,13,Other,implausible
71,41.204815,-119.29304666666667,48.0,0.996691882610321,0.001870658714324236,3,Other,implausible
28,37.535713666666666,-118.37055066666669,144.0,0.9966918230056763,0.0014234846457839012,9,Other,plausible
5,33.45239,-107.16381125,64.0,0.9966871738433838,0.0011920951073989272,4,Rocky_Mountain,implausible
69,41.407170578947365,-118.27509215789475,304.0,0.9966819882392883,0.0015145695069804788,19,Other,implausible
48,38.893161666666664,-118.90216033333333,48.0,0.9966790676116943,0.001452217809855938,3,Other,plausible
47,38.806325,-112.874675,64.0,0.9966780543327332,0.0012178607285022736,4,Rocky_Mountain,plausible
24,36.564395142857144,-118.27227142857143,112.0,0.9966779947280884,0.0014643653994426131,7,Other,plausible
45,38.98939351724139,-123.26122403448277,464.0,0.9966754913330078,0.0015080621233209968,29,Other,plausible
20,36.04021738461538,-106.10570949999997,416.0,0.9966530203819275,0.0014203626196831465,26,Rocky_Mountain,implausible
16,35.55144466666667,-106.20614066666667,48.0,0.9966486096382141,0.0020130760967731476,3,Rocky_Mountain,implausible
7,34.08550308695652,-116.26315830434781,368.0,0.9966474771499634,0.0013288045302033424,23,Basin_and_Range,plausible
9,34.225934555555554,-117.792039,144.0,0.9966433644294739,0.0011877533979713917,9,Basin_and_Range,plausible
